JobNumber,Period,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12
3006,0,-1161.0000,-1161.0000,-1161.0000,-1161.0000,-1161.0000,-1161.0000,-1161.0000,-1161.0000,-1161.0000,-1161.0000,-1161.0000,-1161.0000
3007,0,,,,,,,,,,,,
3008,0,-38193.0000,-38193.0000,-38193.0000,-38193.0000,-38193.0000,-38193.0000,-38193.0000,-38193.0000,-38193.0000,-38193.0000,-38193.0000,-38193.0000
3010,0,,,,,,,,,,,,
3012,0,-29106.0000,-29106.0000,-29106.0000,-29106.0000,-29106.0000,-29106.0000,-29106.0000,-29106.0000,-29106.0000,-29106.0000,-29106.0000,-29106.0000
3013,0,-1021.0000,-1021.0000,-1021.0000,-1021.0000,-1021.0000,-1021.0000,-1021.0000,-1021.0000,-1021.0000,-1021.0000,-1021.0000,-1021.0000
3015,0,-2422.0000,-2422.0000,-2422.0000,-2422.0000,-2422.0000,-2422.0000,-2422.0000,-2422.0000,-2422.0000,-2422.0000,-2422.0000,-2422.0000
3016,0,-15357.0000,-15357.0000,-15357.0000,-15357.0000,-15357.0000,-15357.0000,-15357.0000,-15357.0000,-15357.0000,-15357.0000,-15357.0000,-15357.0000
3017,0,-1770.0000,-1770.0000,-1770.0000,-1770.0000,-1770.0000,-1770.0000,-1770.0000,-1770.0000,-1770.0000,-1770.0000,-1770.0000,-1770.0000
3018,0,,,,,,,,,,,,
3020,0,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000,32.0000
3022,0,-1008.0000,-1008.0000,-1008.0000,-1008.0000,-1008.0000,-1008.0000,-1008.0000,-1008.0000,-1008.0000,-1008.0000,-1008.0000,-1008.0000
3022,12,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,300.0000
3024,0,4964.0000,4964.0000,4964.0000,4964.0000,4964.0000,4964.0000,4964.0000,4964.0000,4964.0000,4964.0000,4964.0000,4964.0000
3025,0,-63511.0000,-63511.0000,-63511.0000,-63511.0000,-63511.0000,-63511.0000,-63511.0000,-63511.0000,-63511.0000,-63511.0000,-63511.0000,-63511.0000
3027,0,-30061.0000,-30061.0000,-30061.0000,-30061.0000,-30061.0000,-30061.0000,-30061.0000,-30061.0000,-30061.0000,-30061.0000,-30061.0000,-30061.0000
3027,12,3344.0000,3344.0000,3344.0000,3344.0000,3344.0000,3344.0000,3344.0000,3344.0000,3344.0000,3344.0000,3344.0000,3344.0000
3028,0,7319.0000,7319.0000,7319.0000,7319.0000,7319.0000,7319.0000,7319.0000,7319.0000,7319.0000,7319.0000,7319.0000,7319.0000
3029,0,-1637.0000,-1637.0000,-1637.0000,-1637.0000,-1637.0000,-1637.0000,-1637.0000,-1637.0000,-1637.0000,-1637.0000,-1637.0000,-1637.0000
3030,0,700.0000,700.0000,700.0000,700.0000,700.0000,700.0000,700.0000,700.0000,700.0000,700.0000,700.0000,700.0000
