JobNumber,Period,actual_total
1053,9,-2075.9600
1053,10,-2776.6100
1053,11,-5076.8300
1055,1,-796.0700
1055,2,-216.8500
1055,3,-572.8400
1055,4,-382.3800
1055,5,-511.4400
1055,6,-616.2000
1055,7,-450.2300
1055,8,-683.6700
1055,9,-536.3900
1055,10,-925.1700
1055,11,-931.9400
1056,1,-562.3500
1056,2,-227.3000
1056,3,-852.2700
1056,4,-1055.4200
1056,5,-1033.4100
1056,6,-673.2900
1056,7,-694.3600
1056,8,-807.4200
1056,9,-42.0600
1056,10,-886.9100
1056,11,-1202.4000
1057,1,11209.8700
1057,2,10993.9700
1057,3,11698.8400
1057,4,1063.9400
1057,5,-210.7100
1057,6,-712.7800
1057,7,995.3100
1057,8,-1565.2700
1057,9,651.6100
1057,10,383.3500
1057,11,-2939.3700
1058,1,-1481.5200
1058,2,-603.9000
1058,3,-352.5000
1058,4,-639.8700
1058,5,-387.8300
1058,6,-1513.2700
1058,7,-700.9400
1058,8,-1653.2100
1058,9,-557.0100
1058,10,-1037.5200
1058,11,-4681.2600
1059,6,5.0000
1060,1,-789.8000
1060,2,1537.1000
1060,3,728.2500
1060,4,-368.7900
1060,5,-25.0500
1060,6,172.1800
1060,7,-101.9200
1060,8,265.0200
1060,9,340.3000
1060,10,-226.8400
1060,11,-1001.3700
1061,1,523.3700
1061,2,-255.0900
1061,3,1885.3100
1061,4,-55.3400
1061,5,796.8900
1061,6,-348.7500
1061,7,-448.9600
1061,8,-441.0800
1061,9,1492.0700
1061,10,-287.3000
1061,11,-1605.9800
1062,3,348.9600
1062,5,53.5500
1063,5,30.0400
1063,6,37.5000
1065,1,-681.0900
1065,2,-741.9100
1065,3,-696.5300
1065,4,-613.8100
1065,5,-542.9100
1065,6,-663.7800
1065,7,-489.8200
1065,8,-608.3200
1065,9,-243.5600
1065,10,-560.8300
1065,11,-967.9600
1066,1,-779.0000
1066,2,1302.4400
1066,3,2807.6600
1066,4,3194.1100
1066,5,4970.2700
1066,6,4575.5100
1066,7,6598.0400
1066,8,1481.9000
1066,9,2954.0600
1066,10,1250.1800
1066,11,-5680.7600
1067,1,-232.9900
1067,2,-131.6000
1067,3,-303.2700
1067,4,-327.4300
1067,5,-324.0700
1067,6,-303.6700
1067,7,-364.9600
1067,8,-326.9500
1067,9,7.5900
1068,1,-684.1500
1068,2,-643.6600
1068,3,-740.6600
1068,4,-464.6700
1068,5,-487.4000
1068,6,-549.1400
1068,7,-519.1400
1068,8,-578.0800
1068,9,-594.3500
1068,10,-150.8700
1068,11,-856.7100
1069,1,-1667.4700
1069,2,-1667.4700
1069,3,-1709.2200
1069,4,-1337.4700
1069,5,-1618.9900
1069,6,-1019.5200
1069,7,-813.2400
1069,8,-663.7100
1069,9,-609.4200
1069,10,-1100.2800
1069,11,-1565.1300
1070,1,-172.7400
1070,2,-92.5400
1070,3,24.0400
1070,4,-169.1100
1070,5,-159.0600
1070,6,49.5100
1070,7,-23.6300
1070,8,-185.1600
1070,9,-194.0000
1070,10,-153.5600
1070,11,-456.2600
1071,1,-821.0400
1071,2,-445.5900
1071,3,-588.3600
1071,4,-881.1500
1071,5,-361.1000
1071,6,-821.6400
1071,7,-921.9800
1071,8,-697.0400
1071,9,-550.3600
1071,10,-377.8700
1071,11,-1290.3900
1072,1,631.1800
1072,2,557.9700
1072,3,560.9900
1072,4,-936.4500
1072,5,492.3500
1072,6,647.3800
1072,7,657.3700
1072,8,471.2900
1072,9,532.4200
1072,10,833.1000
1072,11,152.7000
1073,1,-236.0300
1073,2,-246.1500
1073,3,-132.6400
1073,4,-149.8200
1073,5,-164.9200
1073,6,-224.7300
1073,7,-208.0000
1073,8,-238.5700
1073,9,-217.7000
1073,10,-215.5800
1073,11,-274.6700
1074,1,-527.8500
1074,2,-221.2900
1074,3,-400.1000
1074,4,-330.1800
1074,5,-407.8600
1074,6,-353.1400
1074,7,-332.6500
1074,8,-398.1200
1074,9,-379.2800
1074,10,-413.4700
1074,11,-588.7900
1075,3,-400.0000
1075,4,-400.0000
1075,5,-202.3500
1075,6,-92.7700
1075,7,-118.2200
1075,8,-57.7500
1075,9,-146.7900
1075,10,-86.6700
1075,11,-273.2800
1076,2,-950.0000
1076,3,-950.0000
1076,4,-950.0000
1076,5,-950.0000
1076,6,-950.0000
1076,7,-950.0000
1076,8,-854.0000
1076,9,-662.8100
1076,10,-658.0000
1077,6,-410.5000
1077,7,43.3600
1077,8,198.3400
1077,9,135.3700
1077,10,105.0300
1077,11,-362.5900
1078,10,-2291.3400
1078,11,-1051.4700
15014,2,1391.7700
15014,5,297.7100
2001,1,-2817.4300
2001,2,79.6400
2001,3,-454.4900
2001,4,650.0000
2002,1,229.9100
2002,2,1442.1900
2002,3,456.7500
2003,1,2540.7300
2003,2,1489.5200
2003,3,-768.3900
2003,4,207.8800
2003,5,68.2500
2003,8,53.4600
2003,9,74.9100
2003,10,86.8000
2004,1,726.7800
2004,2,1698.7300
2004,3,1038.6100
2005,1,-3780.0000
2005,2,-914.6200
2013,3,965.7700
2013,4,-6509.5800
2013,5,50.2000
2013,6,226.3400
