JobNumber,Period,Hours,Lunch,Total
1076,10,16.6500,1.0000,
1077,6,62.2800,0.0000,594.2000000
1077,7,80.4200,0.0000,726.3000000
1077,8,92.0000,0.0000,828.0000000
1077,9,84.0000,0.0000,756.0000000
1077,10,78.6300,0.0000,319.2000000
1078,10,51.7300,3.0000,256.0000000
15014,2,103.0000,5.5000,1181.7500000
15014,5,18.1700,0.5000,264.3800000
2001,1,32.0000,,336.0000000
2001,2,4.8300,0.0000,67.6200000
2002,1,40.0000,,600.0000000
2002,2,40.0000,,600.0000000
2003,2,4.6700,0.0000,56.0400000
2005,2,27.9500,1.5000,311.4000000
2013,3,748.6500,0.5000,6840.8450000
2013,4,225.7600,19.0000,2126.4900000
2013,6,41.5000,4.5000,444.0000000
2013,7,16.9500,,152.5500000
2016,5,21.5000,2.0000,258.0000000
3000,1,5241.7300,371.1900,44148.9015000
3000,2,5624.6000,383.8200,47355.0415000
3000,3,6009.6900,414.0000,50610.0545000
3000,4,5894.4800,386.0000,49991.2275000
3000,5,6273.0700,418.7500,53619.5835000
3000,6,6245.0200,405.0000,53218.3860000
3000,7,5735.3600,378.0000,48413.3865000
3000,8,6192.1600,402.5000,52593.0770000
3000,9,6161.0400,406.7500,52549.9925000
3000,10,5659.3900,381.5000,21480.3030000
3000,11,208.4400,15.0000,
3001,1,7180.9100,588.5000,60955.5995000
3001,2,8010.6200,647.5000,67909.6905000
3001,3,8430.1700,694.0000,71398.3505000
3001,4,7604.8400,621.0000,64296.5780000
3001,5,7347.9100,595.0000,63200.9640000
3001,6,7650.4100,641.0000,66868.8430000
3001,7,7705.9800,612.0000,67388.6735000
3001,8,8833.8100,699.5000,76007.6680000
3001,9,8329.5200,650.5000,71175.4935000
3001,10,7998.9200,612.0000,29832.5510000
3003,1,251.6700,19.5000,2025.9435000
3003,2,270.8800,21.5000,2180.5840000
3003,3,350.7500,27.0000,2853.1625000
3003,4,371.4500,28.5000,2990.1725000
3003,5,362.7500,28.0000,2920.1375000
3003,6,363.8200,28.0000,2928.7510000
3003,7,431.3000,34.0000,3471.9650000
3003,8,515.3300,40.0000,4153.2040000
3003,9,477.2700,38.0000,3846.7545000
3003,10,291.3600,23.0000,1080.2295000
3004,1,133.0400,10.5000,1545.4140000
3004,2,167.5800,12.5000,1906.4450000
3004,3,178.4500,13.0000,2078.3485000
3004,4,161.5500,11.5000,1922.8600000
3004,5,165.6700,12.0000,1969.0400000
3004,6,157.0300,15.0000,1884.3600000
3004,7,153.2200,13.5000,1822.0800000
3004,8,176.8000,19.5000,2105.5400000
3004,9,165.7800,14.5000,1969.6100000
3004,10,158.4100,14.0000,831.6390000
3004,11,8.0800,0.5000,
3005,1,11.4700,0.0000,92.3335000
3005,2,11.7200,0.0000,94.3460000
3005,3,10.7700,0.0000,86.6985000
3005,4,14.0000,0.0000,112.7000000
3005,5,12.0000,0.0000,96.6000000
3005,6,12.0000,0.0000,96.6000000
3005,7,15.0000,0.0000,120.7500000
3005,8,12.0000,0.0000,96.6000000
3005,9,15.0000,0.0000,120.7500000
3005,10,12.0000,0.0000,48.3000000
