MonthlyBudget,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12,GLAccountNumber,FiscalYear,BudgetType,JobNumber
57.0000,57.0000,55.0000,54.0000,52.0000,50.0000,48.0000,47.0000,45.0000,43.0000,41.0000,39.0000,38.0000,4020,2017,Sub-contracted Labor,1034
35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,4021,2016,Other,1034
14.0000,14.0000,14.0000,14.0000,14.0000,14.0000,14.0000,14.0000,14.0000,14.0000,14.0000,14.0000,14.0000,4001,2016,Other,1034
14.0000,14.0000,15.0000,15.0000,16.0000,17.0000,18.0000,19.0000,19.0000,20.0000,21.0000,22.0000,23.0000,4070,2017,Other,1034
12.0000,12.0000,12.0000,12.0000,12.0000,12.0000,12.0000,12.0000,12.0000,12.0000,12.0000,12.0000,12.0000,4060,2016,Other,1034
35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,35.0000,4022,2016,Other,1034
17.0000,17.0000,20.0000,23.0000,26.0000,30.0000,34.0000,39.0000,43.0000,48.0000,53.0000,58.0000,64.0000,4022,2017,Other,1034
1074.0000,1074.0000,1070.0000,1065.0000,1061.0000,1057.0000,1052.0000,1048.0000,1043.0000,1039.0000,1034.0000,1030.0000,1025.0000,4000,2017,Other,1034
3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,4003,2017,Other,1034
79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,4022,2016,Other,1035
26.0000,26.0000,26.0000,26.0000,26.0000,26.0000,26.0000,26.0000,26.0000,26.0000,26.0000,26.0000,26.0000,4060,2016,Other,1035
21.0000,21.0000,21.0000,21.0000,21.0000,21.0000,21.0000,21.0000,21.0000,21.0000,21.0000,21.0000,21.0000,4003,2016,Other,1035
79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,79.0000,4021,2016,Other,1035
99.0000,99.0000,95.0000,91.0000,86.0000,82.0000,78.0000,73.0000,69.0000,65.0000,60.0000,56.0000,52.0000,4021,2017,Other,1037
4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4003,2016,Other,1037
36.0000,36.0000,35.0000,34.0000,33.0000,32.0000,31.0000,30.0000,29.0000,27.0000,26.0000,25.0000,24.0000,4020,2017,Sub-contracted Labor,1037
24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,4021,2016,Other,1037
19.0000,19.0000,19.0000,19.0000,19.0000,19.0000,19.0000,19.0000,19.0000,19.0000,18.0000,18.0000,18.0000,4070,2017,Other,1037
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,4001,2016,Other,1037
8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,4060,2016,Other,1037
60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,4090,2016,Supplies,1037
