ID,JobNumber,EmployeeNumber,WorkDate,CategoriesDetailID,RecordTypeID,SequenceNumber,Hours,InTime,OutTime,Lunch,ForceOTToThisJob,PayRate,SpecialPayRate,PaidByCheckID,OvertimeHours,DoubletimeHours,WorkTicketNumber
121978,1053,2306,1/13/2017,1,5,1,4,12/30/1899 5:31:00 PM,12/30/1899 9:31:00 PM,0,0,,0,,0,0,
121979,5011,2365,1/13/2017,1,5,1,7.97,12/30/1899 5:32:00 PM,12/30/1899 2:00:00 AM,0.5,0,,0,,0,0,
121980,3008,2379,1/13/2017,1,5,1,5.58,12/30/1899 5:08:00 PM,12/30/1899 11:13:00 PM,0.5,0,,0,,0,0,
121981,1033,2426,1/13/2017,1,5,1,5.9,12/30/1899 3:36:00 PM,12/30/1899 10:00:00 PM,0.5,0,,0,,0,0,
121982,3027,2508,1/13/2017,1,5,1,8.07,12/30/1899 11:58:00 AM,12/30/1899 8:32:00 PM,0.5,0,,0,,0,0,
121983,1051,2510,1/13/2017,1,5,1,5.07,12/30/1899 6:00:00 PM,12/30/1899 11:04:00 PM,0,0,,0,,0,0,
121984,3037,2537,1/13/2017,1,5,1,4.78,12/30/1899 4:15:00 PM,12/30/1899 9:32:00 PM,0.5,0,,0,,0,0,
121985,3016,2571,1/13/2017,1,5,1,0,12/30/1899 8:05:00 AM,,0,0,,0,,0,0,
121986,4040,2601,1/13/2017,1,5,1,4,12/30/1899 4:58:00 PM,12/30/1899 8:58:00 PM,0,0,,0,,0,0,
121987,3027,2614,1/13/2017,1,5,1,8.02,12/30/1899 12:00:00 PM,12/30/1899 8:31:00 PM,0.5,0,,0,,0,0,
121988,1058,2644,1/13/2017,1,5,1,4,12/30/1899 6:00:00 PM,12/30/1899 10:00:00 PM,0,0,,0,,0,0,
121989,1057,2661,1/13/2017,1,5,1,5,12/30/1899 6:00:00 PM,12/30/1899 11:00:00 PM,0,0,,0,,0,0,
121990,1056,2661,1/13/2017,1,5,1,1,12/30/1899 11:01:00 PM,12/30/1899 12:01:00 AM,0,0,,0,,0,0,
121991,4036,2691,1/13/2017,1,5,1,3.25,12/30/1899 5:56:00 PM,12/30/1899 9:11:00 PM,0,0,,0,,0,0,
121992,1066,2704,1/13/2017,1,5,2,6.7,12/30/1899 5:45:00 PM,12/30/1899 12:57:00 AM,0.5,0,,0,,0,0,
121993,5011,2741,1/13/2017,1,5,1,8.27,12/30/1899 5:13:00 PM,12/30/1899 1:59:00 AM,0.5,0,,0,,0,0,
121994,5011,2752,1/13/2017,1,5,1,8.27,12/30/1899 5:14:00 PM,12/30/1899 2:00:00 AM,0.5,0,,0,,0,0,
