ID,JobNumber,EmployeeNumber,WorkDate,CategoriesDetailID,RecordTypeID,SequenceNumber,Hours,InTime,OutTime,Lunch,ForceOTToThisJob,PayRate,SpecialPayRate,PaidByCheckID,OvertimeHours,DoubletimeHours,WorkTicketNumber
95478,3001,3099,9/30/2016,1,5,1,6.27,12/30/1899 8:43:00 PM,12/30/1899 3:29:00 AM,0.5,0,8.05,0,11561,0,0,
95479,3016,3101,9/30/2016,1,5,1,6.27,12/30/1899 5:45:00 PM,12/30/1899 12:31:00 AM,0.5,0,8.05,0,11562,0,0,
95480,3037,3105,9/30/2016,1,5,1,8,12/30/1899 1:09:00 PM,12/30/1899 9:39:00 PM,0.5,0,9.25,0,11563,0.38,0,
95481,3045,3110,9/30/2016,1,5,1,7.28,12/30/1899 6:01:00 PM,12/30/1899 1:48:00 AM,0.5,0,8.5,0,11565,0.06,0,
95482,3037,3118,9/30/2016,1,5,1,8.05,12/30/1899 1:00:00 PM,12/30/1899 9:33:00 PM,0.5,0,8.75,0,11567,0.1,0,
95483,3045,3120,9/30/2016,1,5,1,7.3,12/30/1899 6:01:00 PM,12/30/1899 1:49:00 AM,0.5,0,8.5,0,11569,0.56,0,
95484,1066,3126,9/30/2016,1,5,1,6.37,12/30/1899 6:01:00 PM,12/30/1899 12:53:00 AM,0.5,0,9,0,11571,0,0,
95485,3025,3137,9/30/2016,1,5,1,6,12/30/1899 6:00:00 PM,12/30/1899 12:30:00 AM,0.5,0,8.05,0,11574,0,0,
95486,3006,3138,9/30/2016,1,8,2,7.03,12/30/1899 5:59:00 PM,12/30/1899 1:31:00 AM,0.5,0,8.05,0,11575,0,0,
95487,1066,3145,9/30/2016,1,5,1,5.98,12/30/1899 6:02:00 PM,12/30/1899 12:31:00 AM,0.5,0,9,0,11579,0,0,
95488,1057,3148,9/30/2016,1,8,2,0,,,0,0,,0,,0,0,
95489,1057,3148,9/30/2016,1,8,3,4.07,12/30/1899 6:00:00 PM,12/30/1899 10:04:00 PM,0,0,9,0,11580,0,0,
95490,3001,3150,9/30/2016,1,5,1,6.17,12/30/1899 8:47:00 PM,12/30/1899 3:27:00 AM,0.5,0,8.05,0,11582,0,0,
95491,3001,3152,9/30/2016,1,5,1,7.03,12/30/1899 5:58:00 PM,12/30/1899 1:30:00 AM,0.5,0,8.05,0,11583,0,0,
95492,3001,3153,9/30/2016,1,5,1,7.03,12/30/1899 9:00:00 PM,12/30/1899 4:32:00 AM,0.5,0,8.05,0,11584,0,0,
95493,1060,3155,9/30/2016,1,8,1,3,12/30/1899 4:30:00 PM,12/30/1899 7:30:00 PM,0,0,12,0,11641,1.74,0,
95494,1058,3156,9/30/2016,1,5,1,4,12/30/1899 6:00:00 PM,12/30/1899 10:00:00 PM,0,0,9,0,11585,0,0,
95495,3001,3165,9/30/2016,1,5,1,6.02,12/30/1899 9:00:00 PM,12/30/1899 3:31:00 AM,0.5,0,8.05,0,11589,0,0,
95496,3001,3168,9/30/2016,1,5,1,5.93,12/30/1899 9:00:00 PM,12/30/1899 3:26:00 AM,0.5,0,8.05,0,11591,0,0,
95497,3001,3169,9/30/2016,1,5,1,6.02,12/30/1899 9:00:00 PM,12/30/1899 3:31:00 AM,0.5,0,8.05,0,11592,0,0,
95498,1003,3175,9/30/2016,1,5,1,8.68,12/30/1899 5:32:00 PM,12/30/1899 3:13:00 AM,1,0,12,0,11595,0,0,
95499,3001,3176,9/30/2016,1,5,1,7.03,12/30/1899 5:59:00 PM,12/30/1899 1:31:00 AM,0.5,0,8.05,0,11596,0,0,
95500,3038,3179,9/30/2016,1,5,1,6.53,12/30/1899 3:00:00 PM,12/30/1899 10:02:00 PM,0.5,0,9,0,11598,0,0,
95501,3038,3183,9/30/2016,1,5,1,5.67,12/30/1899 3:52:00 PM,12/30/1899 10:02:00 PM,0.5,0,9,0,11600,0,0,
95502,1066,3186,9/30/2016,1,5,2,6.35,12/30/1899 6:02:00 PM,12/30/1899 12:53:00 AM,0.5,0,9,0,11601,0,0,
95503,3038,3190,9/30/2016,1,5,1,6.53,12/30/1899 3:00:00 PM,12/30/1899 10:02:00 PM,0.5,0,9,0,11603,0,0,
95504,3045,3191,9/30/2016,1,5,1,8,12/30/1899 4:01:00 PM,12/30/1899 12:31:00 AM,0.5,0,8.5,0,11604,0.13,0,
95505,3045,3191,10/01/2016,1,8,1,0,12/30/1899,12/30/1899,0,0,,0,,0,0,
95506,1072,3192,9/30/2016,1,8,1,1.4,12/30/1899 5:59:00 PM,12/30/1899 7:23:00 PM,0,0,9,0,11605,0,0,
95507,1071,3192,9/30/2016,1,5,2,1.77,12/30/1899 7:35:00 PM,12/30/1899 9:21:00 PM,0,0,9,0,11605,0,0,
95508,3038,3193,9/30/2016,1,5,1,4.4,12/30/1899 5:38:00 PM,12/30/1899 10:02:00 PM,0,0,9,0,11606,0,0,
95509,3037,3194,9/30/2016,1,5,1,8.05,12/30/1899 1:00:00 PM,12/30/1899 9:33:00 PM,0.5,0,8.75,0,11607,0.02,0,
95510,3000,3202,9/30/2016,1,5,1,5.02,12/30/1899 3:00:00 PM,12/30/1899 8:01:00 PM,0,0,8.05,0,11612,0,0,
95511,3038,3204,9/30/2016,1,5,1,8.03,12/30/1899 1:30:00 PM,12/30/1899 10:02:00 PM,0.5,0,11,0,11614,8.03,0,
95512,3001,3205,9/30/2016,1,5,1,5.93,12/30/1899 9:00:00 PM,12/30/1899 3:26:00 AM,0.5,0,8.05,0,11615,0,0,
95513,3022,3206,9/30/2016,1,5,1,3.72,12/30/1899 6:04:00 PM,12/30/1899 9:47:00 PM,0,0,8.05,0,11616,0,0,
